horario,tempo_viagem_min,distancia_km,imagem,emocao,tempo_sem_parada_min,decisao,origem
22.52,180.7,137.11,estrada,tenso,180.7,descansar,sintetico
6.24,592.8,919.17,estrada,neutro,216.8,abastecer,sintetico
8.38,198.6,296.46,ponto_turistico,desconhecido,198.6,registrar_ponto_turistico,sintetico
13.54,120.0,118.97,ponto_turistico,bravo,3.9,continuar,sintetico
7.17,189.9,157.03,posto,cansado,189.9,descansar,sintetico
8.15,89.2,122.34,ponto_turistico,cansado,1.4,continuar,sintetico
7.37,99.4,126.16,estrada,bravo,90.4,fazer_parada,sintetico
11.31,213.7,213.09,desconhecida,desconhecido,85.2,continuar,sintetico
23.31,387.9,565.13,desconhecida,desconhecido,164.1,descansar,sintetico
17.95,249.5,377.27,desconhecida,cansado,66.7,continuar,sintetico
6.85,226.2,266.85,desconhecida,neutro,35.2,continuar,sintetico
10.92,259.7,204.6,desconhecida,neutro,199.3,fazer_parada,sintetico
22.43,105.9,104.59,desconhecida,bravo,30.7,continuar,sintetico
11.99,153.8,171.33,restaurante,cansado,153.8,descansar,sintetico
22.92,464.8,672.88,desconhecida,desconhecido,70.2,abastecer,sintetico
14.52,218.6,252.51,ponto_turistico,neutro,218.6,registrar_ponto_turistico,sintetico
11.69,187.0,236.04,desconhecida,neutro,187.0,alimentar,sintetico
8.17,171.6,114.62,estrada,bravo,110.4,fazer_parada,sintetico
14.95,74.5,102.19,estrada,tenso,40.2,continuar,sintetico
22.42,510.9,698.42,posto,bravo,510.9,descansar,sintetico
10.64,29.1,41.6,restaurante,desconhecido,8.3,fazer_parada,sintetico
20.11,474.0,651.59,estrada,desconhecido,474.0,abastecer,sintetico
11.5,103.7,142.76,desconhecida,neutro,11.5,registrar_ponto_turistico,sintetico
10.1,95.9,91.76,estrada,desconhecido,34.3,continuar,sintetico
21.06,579.7,359.6,desconhecida,desconhecido,579.7,fazer_parada,sintetico
18.7,108.3,166.82,restaurante,animado,108.3,alimentar,sintetico
22.75,209.5,196.03,desconhecida,cansado,57.5,continuar,sintetico
15.76,147.2,185.82,estrada,desconhecido,54.8,continuar,sintetico
10.68,416.8,294.27,desconhecida,cansado,188.4,descansar,sintetico
12.27,52.2,37.72,posto,neutro,1.4,continuar,sintetico
19.26,364.0,531.95,restaurante,tenso,232.9,fazer_parada,sintetico
16.62,273.6,335.02,restaurante,desconhecido,158.9,fazer_parada,sintetico
9.75,155.8,137.99,ponto_turistico,animado,155.8,registrar_ponto_turistico,sintetico
22.07,33.8,34.91,restaurante,neutro,33.8,continuar,sintetico
19.58,112.4,92.67,restaurante,cansado,5.5,continuar,sintetico
9.45,237.4,300.06,posto,desconhecido,237.4,abastecer,sintetico
11.72,149.1,111.18,posto,neutro,110.2,continuar,sintetico
8.9,521.8,709.45,estrada,cansado,376.5,descansar,sintetico
9.52,554.2,731.1,desconhecida,cansado,554.2,descansar,sintetico
9.52,136.2,110.04,estrada,desconhecido,40.5,continuar,sintetico
9.44,172.8,160.67,estrada,tenso,44.3,continuar,sintetico
21.08,241.9,274.2,estrada,desconhecido,98.4,continuar,sintetico
4.64,221.1,349.47,ponto_turistico,tenso,109.5,fazer_parada,sintetico
17.46,498.7,297.93,desconhecida,cansado,498.7,descansar,sintetico
10.02,82.5,96.13,estrada,bravo,21.6,continuar,sintetico
16.13,512.6,710.18,posto,neutro,390.6,abastecer,sintetico
13.06,416.0,616.57,estrada,neutro,23.1,continuar,sintetico
16.91,409.9,356.83,estrada,bravo,409.9,fazer_parada,sintetico
11.11,34.9,54.56,estrada,neutro,26.4,continuar,sintetico
5.87,20.8,24.5,desconhecida,neutro,14.0,continuar,sintetico
16.06,594.9,657.06,estrada,desconhecido,163.7,abastecer,sintetico
6.98,58.0,83.51,desconhecida,neutro,58.0,continuar,sintetico
9.55,22.1,30.68,restaurante,desconhecido,14.8,continuar,sintetico
21.01,114.6,141.16,estrada,animado,114.6,continuar,sintetico
22.04,51.1,41.57,desconhecida,animado,12.6,continuar,sintetico
19.43,202.2,132.97,estrada,desconhecido,9.8,continuar,sintetico
7.64,196.1,246.56,desconhecida,desconhecido,178.4,fazer_parada,sintetico
6.16,513.5,347.52,desconhecida,neutro,283.8,descansar,sintetico
0.38,340.9,384.02,desconhecida,desconhecido,61.1,continuar,sintetico
9.95,268.2,356.43,desconhecida,cansado,268.2,descansar,sintetico
10.56,186.5,163.84,ponto_turistico,cansado,186.5,descansar,sintetico
13.03,135.2,159.62,posto,animado,116.8,alimentar,sintetico
13.78,370.0,565.2,desconhecida,desconhecido,183.4,abastecer,sintetico
16.76,46.7,45.88,ponto_turistico,animado,46.7,registrar_ponto_turistico,sintetico
19.08,192.5,272.25,estrada,desconhecido,192.5,alimentar,sintetico
23.97,232.6,298.86,desconhecida,cansado,138.1,descansar,sintetico
6.42,96.9,131.39,desconhecida,neutro,48.5,continuar,sintetico
12.57,195.4,136.47,ponto_turistico,desconhecido,126.6,continuar,sintetico
20.82,181.8,253.07,desconhecida,desconhecido,181.8,alimentar,sintetico
8.0,347.1,415.74,desconhecida,desconhecido,347.1,abastecer,sintetico
6.16,78.9,81.64,desconhecida,animado,78.9,continuar,sintetico
7.92,44.5,46.34,desconhecida,animado,34.1,continuar,sintetico
10.03,86.9,121.69,posto,neutro,86.4,continuar,sintetico
7.62,344.2,292.77,ponto_turistico,animado,339.2,registrar_ponto_turistico,sintetico
14.77,102.3,105.96,desconhecida,tenso,90.1,fazer_parada,sintetico
8.11,106.0,84.26,estrada,neutro,106.0,continuar,sintetico
6.58,166.8,119.32,estrada,desconhecido,26.5,continuar,sintetico
10.14,164.8,97.66,desconhecida,desconhecido,134.7,fazer_parada,sintetico
11.81,157.8,161.45,restaurante,tenso,99.1,fazer_parada,sintetico
9.21,204.1,297.76,desconhecida,cansado,204.1,descansar,sintetico
11.65,391.5,442.29,desconhecida,neutro,391.5,abastecer,sintetico
20.19,52.8,73.4,estrada,desconhecido,20.6,continuar,sintetico
18.25,492.5,368.01,desconhecida,desconhecido,257.6,abastecer,sintetico
15.76,122.4,140.8,estrada,desconhecido,31.2,continuar,sintetico
12.34,80.6,80.59,estrada,cansado,21.9,continuar,sintetico
18.62,506.2,418.12,estrada,neutro,492.0,abastecer,sintetico
3.42,53.2,83.37,desconhecida,cansado,51.2,continuar,sintetico
18.84,325.2,274.61,restaurante,desconhecido,325.2,alimentar,sintetico
20.56,194.8,172.88,desconhecida,cansado,117.5,descansar,sintetico
23.63,283.7,183.0,estrada,tenso,63.1,continuar,sintetico
13.05,198.1,193.8,desconhecida,desconhecido,198.1,alimentar,sintetico
14.24,526.1,827.49,restaurante,neutro,188.9,abastecer,sintetico
22.94,159.4,135.44,desconhecida,tenso,146.2,descansar,sintetico
12.69,137.3,105.96,estrada,desconhecido,121.1,continuar,sintetico
17.26,128.7,122.02,estrada,desconhecido,128.7,continuar,sintetico
6.03,533.2,512.79,estrada,neutro,157.0,abastecer,sintetico
18.4,80.1,97.67,desconhecida,tenso,65.8,fazer_parada,sintetico
11.93,523.9,608.5,restaurante,desconhecido,118.2,abastecer,sintetico
17.85,296.6,203.02,posto,animado,296.6,fazer_parada,sintetico
19.34,53.6,65.52,estrada,bravo,25.4,continuar,sintetico
20.29,85.8,96.5,posto,neutro,50.6,continuar,sintetico
23.33,283.3,379.77,posto,desconhecido,283.3,descansar,sintetico
4.82,69.9,72.81,desconhecida,neutro,55.0,continuar,sintetico
20.94,99.7,119.8,estrada,desconhecido,40.1,continuar,sintetico
13.51,518.7,468.97,restaurante,neutro,313.8,abastecer,sintetico
12.13,312.3,200.15,desconhecida,desconhecido,312.3,alimentar,sintetico
19.17,200.3,134.92,posto,desconhecido,200.3,alimentar,sintetico
10.28,232.3,284.76,estrada,cansado,87.4,descansar,sintetico
21.17,470.6,679.95,desconhecida,desconhecido,470.6,abastecer,sintetico
9.78,13.3,17.18,estrada,animado,2.5,continuar,sintetico
18.65,164.7,151.38,desconhecida,animado,164.7,alimentar,sintetico
12.96,75.1,47.88,estrada,tenso,10.3,continuar,sintetico
16.77,416.2,560.65,desconhecida,bravo,416.2,fazer_parada,sintetico
7.16,35.3,34.13,desconhecida,animado,5.9,continuar,sintetico
2.97,287.2,378.41,desconhecida,tenso,48.5,continuar,sintetico
13.12,103.9,71.1,restaurante,neutro,64.7,alimentar,sintetico
7.51,487.8,518.97,desconhecida,neutro,487.8,abastecer,sintetico
20.47,546.8,515.94,restaurante,tenso,232.9,fazer_parada,sintetico
2.84,412.2,414.26,ponto_turistico,tenso,68.7,fazer_parada,sintetico
12.6,19.9,24.62,estrada,bravo,19.9,continuar,sintetico
8.81,244.2,370.61,posto,desconhecido,114.6,abastecer,sintetico
20.04,508.3,305.53,posto,bravo,18.2,abastecer,sintetico
6.04,370.8,384.08,desconhecida,cansado,370.8,descansar,sintetico
18.87,317.6,447.16,desconhecida,cansado,317.6,descansar,sintetico
2.49,521.2,778.4,estrada,cansado,90.5,abastecer,sintetico
15.41,424.4,605.4,desconhecida,desconhecido,133.2,abastecer,sintetico
20.92,226.5,293.0,ponto_turistico,neutro,202.5,alimentar,sintetico
17.0,111.4,133.57,desconhecida,neutro,62.6,continuar,sintetico
18.06,549.8,564.27,desconhecida,neutro,549.8,abastecer,sintetico
21.94,42.8,61.2,desconhecida,tenso,42.8,continuar,sintetico
15.92,297.4,334.97,desconhecida,desconhecido,103.9,continuar,sintetico
18.31,213.1,205.61,desconhecida,neutro,24.2,continuar,sintetico
20.21,315.9,383.12,desconhecida,animado,315.9,abastecer,sintetico
11.38,198.1,296.0,desconhecida,tenso,89.4,fazer_parada,sintetico
19.56,160.3,169.46,estrada,bravo,21.9,continuar,sintetico
16.49,316.2,470.85,desconhecida,desconhecido,45.0,continuar,sintetico
7.19,368.6,462.42,desconhecida,neutro,368.6,abastecer,sintetico
13.57,89.5,113.0,posto,tenso,89.5,continuar,sintetico
12.95,316.6,196.28,estrada,desconhecido,316.6,alimentar,sintetico
15.62,512.6,370.97,restaurante,desconhecido,512.6,abastecer,sintetico
15.21,254.4,313.34,desconhecida,animado,254.4,fazer_parada,sintetico
12.41,191.3,281.27,desconhecida,neutro,191.3,fazer_parada,sintetico
8.83,144.2,103.55,ponto_turistico,neutro,128.5,registrar_ponto_turistico,sintetico
8.85,38.5,44.93,estrada,tenso,24.0,continuar,sintetico
21.33,211.3,235.52,estrada,desconhecido,19.7,continuar,sintetico
21.47,541.4,627.72,desconhecida,neutro,137.8,abastecer,sintetico
22.86,142.6,120.41,desconhecida,desconhecido,80.5,continuar,sintetico
19.36,189.0,289.7,posto,cansado,189.0,descansar,sintetico
1.38,575.0,565.83,posto,desconhecido,164.7,descansar,sintetico
17.38,591.2,396.23,desconhecida,tenso,591.2,fazer_parada,sintetico
7.99,46.1,50.27,estrada,desconhecido,23.2,continuar,sintetico
19.6,65.6,63.36,desconhecida,desconhecido,14.5,continuar,sintetico
9.99,180.3,272.97,desconhecida,cansado,180.3,fazer_parada,sintetico
9.11,79.1,117.22,posto,neutro,45.5,continuar,sintetico
12.15,79.2,46.85,posto,desconhecido,30.0,continuar,sintetico
13.35,58.7,40.11,desconhecida,desconhecido,58.7,continuar,sintetico
11.44,98.6,125.64,estrada,neutro,98.6,continuar,sintetico
21.12,188.4,176.78,desconhecida,desconhecido,91.8,continuar,sintetico
20.67,67.9,83.33,desconhecida,neutro,67.9,continuar,sintetico
10.46,437.4,266.7,desconhecida,cansado,334.6,descansar,sintetico
9.01,434.6,371.92,estrada,cansado,421.4,descansar,sintetico
6.14,196.6,281.41,ponto_turistico,bravo,196.6,fazer_parada,sintetico
21.47,93.9,79.48,posto,bravo,22.5,fazer_parada,sintetico
8.56,29.0,24.75,estrada,desconhecido,21.1,continuar,sintetico
10.23,202.8,283.98,posto,neutro,24.7,fazer_parada,sintetico
7.92,155.1,121.26,posto,desconhecido,133.9,continuar,sintetico
8.62,361.8,561.92,estrada,desconhecido,21.7,registrar_ponto_turistico,sintetico
13.96,132.5,142.27,restaurante,neutro,72.1,alimentar,sintetico
19.66,150.7,136.28,desconhecida,cansado,150.7,descansar,sintetico
16.04,12.5,15.29,desconhecida,desconhecido,6.1,continuar,sintetico
18.97,261.0,313.26,desconhecida,neutro,191.6,alimentar,sintetico
22.97,300.1,229.16,desconhecida,desconhecido,101.3,continuar,sintetico
14.3,231.0,238.11,estrada,bravo,167.8,fazer_parada,sintetico
19.79,88.6,63.93,desconhecida,desconhecido,51.6,continuar,sintetico
10.0,23.4,14.99,restaurante,tenso,8.2,continuar,sintetico
19.37,511.0,592.06,desconhecida,desconhecido,511.0,abastecer,sintetico
13.31,239.3,265.06,ponto_turistico,animado,239.3,alimentar,sintetico
7.46,324.1,411.13,estrada,desconhecido,324.1,abastecer,sintetico
13.47,437.6,527.87,restaurante,neutro,304.1,abastecer,sintetico
20.74,323.2,311.6,estrada,desconhecido,32.2,continuar,sintetico
21.37,234.9,254.76,posto,desconhecido,147.0,abastecer,sintetico
9.51,233.1,348.0,desconhecida,neutro,233.1,fazer_parada,sintetico
17.45,227.9,159.94,posto,tenso,227.9,fazer_parada,sintetico
12.11,138.3,112.57,estrada,neutro,138.3,alimentar,sintetico
23.66,179.5,282.03,restaurante,neutro,11.9,continuar,sintetico
22.93,523.3,577.7,estrada,desconhecido,432.8,descansar,sintetico
7.92,126.5,91.78,posto,tenso,57.1,continuar,sintetico
12.17,498.6,352.46,estrada,desconhecido,498.6,alimentar,sintetico
8.0,391.0,349.15,desconhecida,desconhecido,174.5,fazer_parada,sintetico
1.17,328.1,370.97,desconhecida,cansado,182.9,descansar,sintetico
19.06,137.1,212.47,desconhecida,tenso,49.4,continuar,sintetico
16.28,235.1,261.55,posto,cansado,235.1,descansar,sintetico
19.54,73.3,56.92,estrada,desconhecido,73.3,continuar,sintetico
19.97,281.0,257.55,desconhecida,animado,159.9,alimentar,sintetico
15.82,127.5,146.35,desconhecida,tenso,70.8,fazer_parada,sintetico
20.91,206.6,267.15,desconhecida,animado,206.6,alimentar,sintetico
7.67,210.4,188.0,ponto_turistico,neutro,210.4,registrar_ponto_turistico,sintetico
22.88,185.1,245.91,desconhecida,desconhecido,185.1,descansar,sintetico
12.48,62.5,40.93,restaurante,cansado,21.2,continuar,sintetico
16.77,515.2,593.05,desconhecida,desconhecido,515.2,abastecer,sintetico
20.38,119.6,77.56,desconhecida,desconhecido,119.6,alimentar,sintetico
13.33,118.4,76.86,ponto_turistico,neutro,118.4,alimentar,sintetico
20.76,100.4,118.59,estrada,desconhecido,59.9,continuar,sintetico
7.52,349.6,533.78,desconhecida,bravo,343.5,fazer_parada,sintetico
17.26,381.9,344.3,estrada,desconhecido,145.7,continuar,sintetico
16.28,270.5,331.49,desconhecida,desconhecido,123.3,continuar,sintetico
17.74,234.9,270.47,desconhecida,animado,26.6,continuar,sintetico
13.97,352.5,224.23,estrada,neutro,352.5,alimentar,sintetico
19.19,17.1,26.96,estrada,tenso,10.7,continuar,sintetico
20.1,12.8,20.03,posto,neutro,7.6,continuar,sintetico
12.63,227.8,343.08,desconhecida,neutro,227.8,alimentar,sintetico
13.84,338.1,288.65,estrada,desconhecido,86.3,continuar,sintetico
3.54,175.4,146.53,estrada,tenso,175.4,descansar,sintetico
11.66,470.0,707.77,restaurante,desconhecido,470.0,abastecer,sintetico
10.4,106.3,127.33,desconhecida,desconhecido,106.3,registrar_ponto_turistico,sintetico
1.79,99.9,131.0,estrada,animado,7.0,continuar,sintetico
21.24,14.2,13.78,estrada,bravo,14.2,continuar,sintetico
6.73,239.0,148.28,desconhecida,animado,239.0,fazer_parada,sintetico
23.63,169.8,121.22,posto,neutro,169.8,descansar,sintetico
8.95,80.6,124.73,desconhecida,desconhecido,80.6,continuar,sintetico
19.81,6.7,10.11,posto,neutro,4.0,fazer_parada,sintetico
13.49,236.9,369.52,restaurante,cansado,204.3,descansar,sintetico
14.25,255.6,338.34,desconhecida,tenso,45.0,continuar,sintetico
10.92,115.7,123.52,desconhecida,desconhecido,16.8,continuar,sintetico
22.49,457.3,627.83,restaurante,desconhecido,279.7,descansar,sintetico
23.62,40.0,46.29,estrada,animado,40.0,continuar,sintetico
22.6,162.2,120.88,estrada,desconhecido,92.5,continuar,sintetico
16.55,460.5,533.52,desconhecida,tenso,460.5,fazer_parada,sintetico
20.81,83.7,94.0,estrada,animado,61.7,continuar,sintetico
22.63,563.8,583.71,restaurante,desconhecido,379.6,descansar,sintetico
18.54,102.9,130.23,desconhecida,cansado,48.8,continuar,sintetico
14.23,36.0,49.43,posto,animado,36.0,continuar,sintetico
18.02,238.5,276.19,ponto_turistico,tenso,88.2,fazer_parada,sintetico
22.9,157.1,138.08,estrada,animado,152.3,descansar,sintetico
9.33,147.9,115.15,desconhecida,tenso,115.6,fazer_parada,sintetico
15.54,7.9,7.3,desconhecida,tenso,7.9,continuar,sintetico
6.11,429.1,394.24,ponto_turistico,bravo,253.5,fazer_parada,sintetico
13.22,190.9,140.79,desconhecida,cansado,190.9,descansar,sintetico
12.4,283.1,310.18,desconhecida,tenso,239.3,fazer_parada,sintetico
19.43,79.3,113.28,estrada,desconhecido,21.5,continuar,sintetico
7.3,134.5,180.2,posto,tenso,134.5,fazer_parada,sintetico
7.34,291.2,235.89,estrada,cansado,291.2,fazer_parada,sintetico
7.54,571.2,450.55,restaurante,bravo,105.6,fazer_parada,sintetico
14.57,216.9,243.02,estrada,desconhecido,21.4,continuar,sintetico
7.97,184.1,237.18,desconhecida,cansado,7.5,continuar,sintetico
13.94,417.0,287.1,desconhecida,neutro,274.6,alimentar,sintetico
10.74,384.1,406.81,ponto_turistico,neutro,155.3,abastecer,sintetico
17.26,23.0,30.68,estrada,desconhecido,18.2,registrar_ponto_turistico,sintetico
18.99,299.1,303.28,estrada,neutro,299.1,alimentar,sintetico
19.01,143.8,102.29,estrada,desconhecido,116.4,alimentar,sintetico
6.35,13.8,17.11,estrada,desconhecido,7.1,continuar,sintetico
5.14,312.6,381.03,desconhecida,desconhecido,23.5,continuar,sintetico
11.33,198.6,216.05,desconhecida,desconhecido,198.6,fazer_parada,sintetico
7.02,531.2,762.88,desconhecida,bravo,496.5,fazer_parada,sintetico
22.85,40.2,24.59,posto,tenso,12.5,continuar,sintetico
19.75,552.2,819.39,restaurante,animado,200.7,abastecer,sintetico
9.64,530.1,703.6,desconhecida,neutro,115.6,abastecer,sintetico
19.58,77.4,95.13,desconhecida,tenso,2.7,continuar,sintetico
20.61,570.5,504.41,desconhecida,neutro,431.6,abastecer,sintetico
13.15,276.1,205.36,estrada,neutro,276.1,alimentar,sintetico
12.98,172.7,233.29,ponto_turistico,neutro,22.5,registrar_ponto_turistico,sintetico
1.3,10.4,11.87,desconhecida,tenso,2.4,continuar,sintetico
8.21,207.6,283.41,restaurante,cansado,207.6,descansar,sintetico
17.68,7.4,5.32,estrada,cansado,7.4,continuar,sintetico
12.31,64.6,77.72,ponto_turistico,neutro,64.6,registrar_ponto_turistico,sintetico
14.71,540.5,719.53,posto,desconhecido,152.9,abastecer,sintetico
0.98,66.2,85.29,desconhecida,cansado,65.8,continuar,sintetico
7.31,142.1,221.01,posto,cansado,81.1,descansar,sintetico
15.75,229.5,270.21,ponto_turistico,desconhecido,229.5,registrar_ponto_turistico,sintetico
3.91,46.8,72.51,posto,desconhecido,4.2,continuar,sintetico
19.79,213.1,225.81,estrada,neutro,90.1,continuar,sintetico
19.78,411.9,301.52,restaurante,desconhecido,411.9,alimentar,sintetico
18.31,543.4,341.61,posto,neutro,382.8,abastecer,sintetico
18.34,159.1,166.03,desconhecida,animado,104.7,registrar_ponto_turistico,sintetico
20.35,473.9,482.97,estrada,neutro,374.4,abastecer,sintetico
0.89,102.7,110.8,desconhecida,neutro,75.1,continuar,sintetico
18.35,151.3,186.07,estrada,neutro,66.0,continuar,sintetico
18.75,369.7,390.27,desconhecida,neutro,59.9,abastecer,sintetico
22.3,20.0,20.24,desconhecida,desconhecido,2.4,continuar,sintetico
16.71,581.1,817.52,posto,tenso,581.1,fazer_parada,sintetico
10.52,201.2,212.65,estrada,neutro,201.2,fazer_parada,sintetico
11.75,399.3,540.48,desconhecida,animado,206.6,abastecer,sintetico
20.06,492.3,717.2,ponto_turistico,animado,154.4,abastecer,sintetico
9.63,96.6,125.86,estrada,desconhecido,50.3,continuar,sintetico
15.73,124.3,87.87,desconhecida,tenso,117.0,fazer_parada,sintetico
21.1,28.0,36.29,estrada,neutro,2.3,continuar,sintetico
20.68,292.0,207.43,desconhecida,desconhecido,37.8,continuar,sintetico
6.83,349.2,373.36,restaurante,cansado,49.6,continuar,sintetico
8.53,287.8,207.76,estrada,desconhecido,219.2,continuar,sintetico
15.81,34.1,38.95,ponto_turistico,tenso,34.1,continuar,sintetico
19.85,384.6,241.68,restaurante,desconhecido,8.9,continuar,sintetico
21.59,38.5,56.81,desconhecida,desconhecido,38.5,continuar,sintetico
17.08,135.2,158.13,desconhecida,neutro,135.2,registrar_ponto_turistico,sintetico
21.67,463.5,573.02,desconhecida,desconhecido,463.5,abastecer,sintetico
19.63,599.6,876.35,restaurante,bravo,599.6,fazer_parada,sintetico
17.84,241.5,143.21,estrada,tenso,241.5,fazer_parada,sintetico
18.63,284.9,271.76,posto,cansado,284.9,descansar,sintetico
14.51,236.3,288.71,desconhecida,desconhecido,236.3,fazer_parada,sintetico
21.01,248.3,385.68,desconhecida,neutro,152.6,fazer_parada,sintetico
11.69,220.8,246.38,restaurante,animado,220.8,fazer_parada,sintetico
12.47,329.0,347.7,desconhecida,desconhecido,273.9,alimentar,sintetico
6.89,259.7,310.13,restaurante,neutro,26.4,continuar,sintetico
18.13,126.5,148.2,estrada,tenso,126.5,fazer_parada,sintetico
16.26,368.8,430.37,desconhecida,bravo,53.7,continuar,sintetico
13.59,116.8,148.93,desconhecida,desconhecido,80.9,continuar,sintetico
6.17,530.6,508.99,ponto_turistico,neutro,438.3,abastecer,sintetico
3.29,46.4,39.2,estrada,tenso,46.4,continuar,sintetico
13.3,287.1,221.91,estrada,tenso,199.3,fazer_parada,sintetico
21.0,522.5,718.06,posto,desconhecido,87.5,abastecer,sintetico
11.71,402.7,329.33,restaurante,tenso,402.7,fazer_parada,sintetico
12.31,59.9,73.65,estrada,animado,4.9,continuar,sintetico
11.09,599.4,800.66,posto,animado,546.9,abastecer,sintetico
11.32,189.7,254.38,desconhecida,animado,87.5,continuar,sintetico
6.4,166.2,163.94,posto,tenso,89.3,fazer_parada,sintetico
13.91,470.0,417.39,posto,cansado,470.0,descansar,sintetico
9.5,117.4,76.55,desconhecida,cansado,101.6,descansar,sintetico
10.89,218.9,320.19,restaurante,neutro,126.1,continuar,sintetico
6.57,97.5,149.06,estrada,desconhecido,97.5,continuar,sintetico
18.75,64.4,70.16,desconhecida,animado,4.7,continuar,sintetico
7.71,197.8,281.84,desconhecida,neutro,197.8,fazer_parada,sintetico
6.89,470.8,611.87,desconhecida,animado,183.9,abastecer,sintetico
19.49,539.0,404.88,desconhecida,neutro,539.0,abastecer,sintetico
22.84,255.8,375.74,estrada,animado,196.4,descansar,sintetico
21.51,592.1,739.93,desconhecida,neutro,592.1,abastecer,sintetico
22.81,52.5,50.33,posto,tenso,12.5,continuar,sintetico
12.49,479.4,398.71,desconhecida,cansado,344.9,descansar,sintetico
16.3,114.8,85.78,desconhecida,neutro,114.8,continuar,sintetico
7.21,413.5,556.29,ponto_turistico,animado,34.4,registrar_ponto_turistico,sintetico
11.23,100.1,99.99,ponto_turistico,desconhecido,74.3,registrar_ponto_turistico,sintetico
21.66,18.6,17.98,desconhecida,tenso,4.6,continuar,sintetico
20.11,142.7,211.88,desconhecida,desconhecido,27.0,continuar,sintetico
19.59,574.8,564.06,desconhecida,desconhecido,574.8,abastecer,sintetico
9.81,18.9,14.45,estrada,cansado,4.9,continuar,sintetico
6.12,141.9,222.88,estrada,bravo,141.9,fazer_parada,sintetico
23.06,88.7,81.01,estrada,tenso,88.7,fazer_parada,sintetico
9.97,153.9,224.25,estrada,animado,113.3,continuar,sintetico
7.48,522.6,679.31,posto,bravo,522.6,fazer_parada,sintetico
17.32,223.3,203.18,ponto_turistico,cansado,62.6,continuar,sintetico
9.97,501.0,619.88,posto,desconhecido,484.1,abastecer,sintetico
14.84,592.7,535.24,estrada,desconhecido,402.7,abastecer,sintetico
16.96,455.6,406.49,estrada,animado,56.2,abastecer,sintetico
23.79,119.6,116.59,estrada,desconhecido,78.8,continuar,sintetico
